iter	Passed	Remaining
470	676	759
471	676	757
472	677	755
473	678	752
474	679	750
475	680	748
476	681	746
477	681	744
478	682	742
479	683	740
480	684	738
481	685	736
482	685	734
483	686	732
484	687	730
485	688	728
486	689	725
487	690	724
488	691	722
489	692	720
490	693	718
491	693	716
492	694	714
493	695	712
494	696	710
495	696	708
496	697	706
497	698	704
498	699	702
499	700	700
500	700	698
501	701	696
502	702	694
503	703	692
504	704	690
505	705	688
506	706	686
507	706	684
508	707	682
509	708	680
510	709	678
511	710	676
512	711	675
513	711	672
514	712	671
515	713	669
516	714	667
517	714	665
518	715	663
519	716	661
520	717	659
521	717	657
522	718	655
523	720	654
524	720	652
525	721	650
526	722	648
527	723	646
528	723	644
529	724	642
530	725	640
531	726	638
532	726	636
533	727	635
534	728	633
535	729	631
536	730	629
537	730	627
538	731	625
539	732	624
540	733	622
541	734	620
542	735	618
543	736	617
544	736	615
545	737	613
546	738	611
547	739	609
548	740	608
549	741	606
550	741	604
551	742	602
552	743	600
553	744	599
554	744	597
555	745	595
556	746	593
557	747	592
558	748	590
559	749	588
560	750	586
561	750	585
562	751	583
563	752	581
564	753	579
565	754	578
566	754	576
567	755	574
568	756	573
569	757	571
570	758	569
571	758	567
572	759	566
573	760	564
574	761	562
575	761	560
576	762	559
577	763	557
578	764	555
579	765	554
580	766	552
581	767	550
582	767	549
583	768	547
584	769	545
585	770	544
586	770	542
587	771	540
588	772	539
589	773	537
590	774	535
591	775	534
592	775	532
593	776	530
594	777	529
595	778	527
596	779	526
597	780	524
598	780	522
599	781	521
600	782	519
601	783	517
602	784	516
603	784	514
604	785	512
605	786	511
606	787	509
607	787	507
608	788	506
609	789	504
610	790	503
611	791	501
612	792	500
613	796	500
614	797	499
615	798	497
616	799	496
617	800	494
618	801	493
619	802	492
620	803	490
621	804	488
622	805	487
623	806	485
624	807	484
625	808	482
626	809	481
627	810	480
628	811	478
629	812	477
630	813	475
631	814	474
632	815	472
633	816	471
634	817	469
635	818	468
636	819	466
637	820	465
638	821	463
639	821	462
640	822	460
641	824	459
642	825	458
643	825	456
644	826	454
645	827	453
646	828	451
647	828	450
648	829	448
649	830	447
650	830	445
651	831	443
652	832	442
653	833	440
654	834	439
655	834	437
656	835	436
657	836	434
658	837	433
659	839	432
660	840	430
661	840	429
662	841	427
663	842	426
664	843	424
665	843	423
666	844	421
667	845	420
668	846	418
669	846	417
670	847	415
671	848	414
672	849	412
673	850	411
674	850	409
675	851	408
676	853	406
677	854	405
678	855	404
679	855	402
680	856	401
681	857	399
682	858	398
683	859	396
684	860	395
685	860	394
686	861	392
687	862	391
688	863	389
689	863	388
690	864	386
691	865	385
692	866	383
693	867	382
694	868	381
695	869	379
696	870	378
697	871	376
698	871	375
699	872	374
700	873	372
701	874	371
702	875	369
703	875	368
704	876	366
705	877	365
706	878	364
707	879	362
708	880	361
709	880	359
710	881	358
711	883	357
712	884	356
713	885	354
714	886	353
715	887	351
716	887	350
717	888	348
718	889	347
719	890	346
720	890	344
721	891	343
722	892	341
723	893	340
724	893	339
725	894	337
726	895	336
727	896	334
728	896	333
729	898	332
730	899	331
731	900	329
732	901	328
733	901	326
734	902	325
735	903	324
736	904	322
737	904	321
738	905	319
739	906	318
740	907	317
741	907	315
742	908	314
743	909	312
744	910	311
745	910	310
746	911	308
747	912	307
748	913	306
749	914	304
750	915	303
751	916	302
752	917	300
753	917	299
754	918	298
755	919	296
756	920	295
757	920	293
758	921	292
759	922	291
760	923	289
761	923	288
762	924	287
763	925	285
764	926	284
765	927	283
766	928	282
767	929	280
768	930	279
769	930	278
770	931	276
771	932	275
772	933	274
773	933	272
774	934	271
775	935	270
776	936	268
777	936	267
778	937	265
779	938	264
780	939	263
781	939	262
782	940	260
783	941	259
784	944	258
785	945	257
786	946	256
787	946	254
788	947	253
789	948	252
790	949	250
791	950	249
792	951	248
793	951	246
794	952	245
795	953	244
796	954	243
797	955	241
798	955	240
799	957	239
800	958	238
801	958	236
802	959	235
803	960	234
804	961	232
805	962	231
806	963	230
807	964	229
808	964	227
809	965	226
810	966	225
811	967	223
812	967	222
813	968	221
814	969	220
815	970	218
816	970	217
817	972	216
818	973	215
819	973	213
820	974	212
821	975	211
822	976	209
823	977	208
824	977	207
825	978	206
826	979	204
827	980	203
828	980	202
829	981	201
830	982	199
831	983	198
832	984	197
833	985	196
834	985	194
835	987	193
836	988	192
837	989	191
838	990	190
839	990	188
840	991	187
841	992	186
842	993	185
843	994	183
844	994	182
845	995	181
846	996	180
847	997	178
848	998	177
849	999	176
850	1000	175
851	1000	173
852	1001	172
853	1002	171
854	1003	170
